범죄대분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
강력범죄,6246,1593,917,1524,629,732,502,91,341,19,119,87,87,99,143,202,62,469,415,620,273,396,93,250,94,65,112,230,37,245,123,130,273,81,68,243,131,41,24,39,135,109,24,60,389,93,10,51,37,72,51,77,118,342,120,34,31,96,305,44,59,46,138,114,143,115,109,149,48,24,35,69,43,36,193,110,172,41,42,127,148,386,66,103,347,43,1383
교통범죄,50895,18201,19005,16771,12432,10583,8020,1337,6159,359,1717,3035,1495,1075,3207,3679,598,5573,5951,8826,5096,6495,1881,2514,1725,1130,1958,5592,818,2790,2070,2804,6637,1612,1679,5417,1645,487,553,742,2988,2175,293,1127,6849,1728,104,814,778,1477,913,1374,2411,5294,1826,591,479,1857,3868,708,1219,838,2413,2353,3041,1708,2141,3350,1084,433,730,1324,662,1036,3875,1938,3928,736,997,2400,1687,5418,1245,1904,4632,129,27287
기타범죄,41026,21878,7875,15504,4770,5085,4288,867,4018,195,1062,1606,663,582,1715,2090,426,3763,3979,5320,2061,3117,859,1905,1028,518,903,2912,410,1835,1023,1438,4943,817,873,3017,782,1016,413,378,1706,1154,180,453,2901,771,60,351,457,637,421,1407,1018,2553,3750,257,253,816,2359,392,1082,380,1024,948,3587,800,971,1336,443,188,312,615,258,315,2947,1043,2177,302,727,1245,1103,4700,1442,1888,3354,3327,26459
노동범죄,55,18,12,9,8,11,11,1,6,0,4,4,0,1,0,0,2,10,4,3,3,4,1,2,1,0,0,2,1,2,1,1,4,3,1,6,2,2,1,1,2,2,0,0,7,0,0,1,0,1,1,2,2,5,2,0,0,3,1,3,4,4,6,3,9,0,0,2,0,0,0,1,0,3,4,1,1,0,0,1,0,0,1,6,34,3,44
마약범죄,2154,865,285,759,126,113,73,34,100,4,29,42,20,13,43,60,19,103,74,176,127,151,43,110,74,24,40,83,11,108,47,92,119,87,11,120,19,7,2,4,54,66,7,22,87,77,2,24,20,40,26,29,58,92,11,3,6,24,36,18,7,13,18,58,36,25,47,47,22,21,23,36,25,12,66,23,200,30,21,61,43,174,17,9,19,135,925
병역범죄,748,205,174,288,87,102,52,17,81,2,9,26,12,11,43,72,10,50,49,68,30,40,19,30,23,7,15,31,11,51,12,43,30,17,26,47,9,9,1,4,13,14,2,5,58,19,1,4,25,22,10,6,26,88,17,3,3,20,39,13,6,3,15,16,22,27,17,62,9,3,5,11,5,4,57,25,56,1,4,55,27,65,16,29,49,60,247
보건범죄,3937,1713,315,733,348,280,133,58,305,7,68,120,83,38,102,163,18,241,258,331,148,232,67,161,46,25,61,161,18,77,41,83,177,29,72,227,120,51,13,29,90,26,11,14,98,37,5,10,23,214,49,319,70,169,41,6,14,42,102,13,31,18,53,62,72,18,57,50,28,7,10,32,9,6,94,108,164,31,7,69,65,269,41,25,106,60,661
선거범죄,201,64,18,29,30,9,10,0,9,2,8,2,3,3,4,2,3,10,7,8,2,11,18,8,3,1,3,6,6,2,3,3,5,7,3,1,4,0,0,1,4,6,1,4,8,1,0,0,1,1,2,0,1,6,3,1,4,3,19,5,0,3,8,7,18,2,7,9,0,0,6,14,1,2,10,6,9,0,2,3,5,13,3,8,20,10,84
안보범죄,124,5,7,13,2,1,0,0,0,0,0,0,0,0,2,1,0,2,3,2,1,0,1,3,1,1,2,2,0,1,0,1,6,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,0,13,4
절도범죄,38296,14189,8675,8991,4939,5259,3116,876,2174,127,1093,808,618,713,1186,1353,266,3550,3021,4868,1778,3007,789,1822,503,395,890,2587,238,1507,775,987,2058,414,823,1898,640,185,140,281,1150,945,75,373,3211,790,59,277,425,526,325,590,1201,2865,1019,216,207,1077,2196,358,408,414,1062,907,872,1020,892,1787,431,166,342,444,216,380,1963,833,2441,314,407,1340,2050,3902,478,1155,2270,24,9279
지능범죄,82443,36784,19812,24407,10777,12157,8561,1862,8093,308,1989,2750,1410,1441,3499,4071,828,8074,7584,10413,4465,6664,1265,3698,1420,771,1744,5602,801,3909,1646,3380,6161,1192,1835,5169,1324,297,530,665,2537,2066,281,760,6412,1559,157,633,1075,975,624,1153,1987,5992,2306,399,602,2225,5219,728,871,624,1866,1812,2592,1458,2652,3748,977,279,425,1001,532,667,4045,2215,5342,750,748,2524,2746,9151,1179,1451,4719,13860,18917
특별경제범죄,11539,3633,1869,2990,1161,1216,904,178,955,29,220,334,188,221,477,403,88,910,878,1134,491,972,153,468,190,82,229,615,117,452,187,395,633,148,206,680,174,49,47,119,268,216,32,79,761,144,18,43,113,110,89,139,255,601,178,47,52,172,403,65,127,74,206,213,228,186,180,280,93,31,39,93,40,40,303,233,461,58,69,331,256,884,90,183,711,893,2005
폭력범죄,48308,19086,12278,17798,7360,8272,5523,873,4314,148,1650,1885,1075,1000,1860,2514,607,5084,4238,7016,3028,4819,1268,2750,1229,701,1342,3293,464,3099,1366,1941,4123,866,1130,3924,1290,470,381,718,1625,1340,244,625,4490,871,79,466,532,765,475,924,1869,3025,1531,426,345,1410,3075,538,729,465,1651,1480,1540,1361,1115,1797,874,306,369,1079,429,543,2400,1482,2761,481,652,1662,1896,5197,931,1344,3997,365,15116
풍속범죄,4805,1461,918,1292,505,593,584,54,434,17,109,124,73,81,100,147,41,351,600,1860,203,347,54,412,68,29,77,247,43,262,118,142,188,49,70,314,65,22,18,40,114,260,11,217,299,56,5,25,25,45,33,58,101,256,112,30,30,84,279,31,38,15,77,76,80,80,66,115,40,19,17,113,29,18,130,84,175,19,28,84,94,292,39,57,215,629,1015
환경범죄,39,400,11,149,5,13,57,3,54,4,3,37,5,2,7,56,7,22,5,14,20,8,2,2,81,3,15,139,0,11,42,104,109,167,18,309,15,12,7,7,28,13,1,0,2,9,0,3,5,10,5,37,5,55,17,1,2,23,24,3,11,8,14,4,32,3,70,22,27,4,10,11,1,8,45,19,116,34,26,13,26,69,24,5,11,41,707
SUM,290816,120095,72171,91257,43179,44426,31834,6251,27043,1221,8080,10860,5732,5280,12388,14813,2975,28212,27066,40659,17726,26263,6513,14135,6486,3752,7391,21502,2975,14351,7454,11544,25466,5489,6815,21374,6220,2648,2130,3029,10716,8392,1162,3739,25572,6155,500,2702,3516,4895,3024,6115,9122,21344,10933,2014,2028,7853,17926,2920,4592,2905,8551,8053,12274,6803,8324,12755,4076,1481,2323,4843,2250,3070,16132,8121,18004,2797,3731,9915,10146,30522,5572,8168,20484,19592,104133
